"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Reverse Debugging Commands","Reverse StepInto","Shift+F5","Debugging C/C++"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Debug Last Launched","F11","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Reverse Debugging Commands","Reverse StepOver","Shift+F6","Debugging C/C++"

"C/C++ Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"File","New menu","Shift+Alt+N","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Terminal view commands","Terminal view insert","Alt+E","Terminal widget context"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"C/C++ Source","Format","Shift+Ctrl+F","C/C++ Editor"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Views","Show View (View: Breakpoints)","Shift+Alt+Q B","In Windows"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"C/C++ Source","Find References","Shift+Ctrl+G","In C/C++ Views"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Backward History","Alt+Left","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Properties Files"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Window","Next Editor","Ctrl+F6","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Views","Show View (View: History)","Shift+Alt+Q Z","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Run/Debug","Go to Program Counter","Home","In DSF Disassembly"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Views","Show View (View: Hierarchy)","Shift+Alt+Q T","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Views","Show View (View: Outline)","Shift+Alt+Q O","In Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Spy","Plug-in Spy","Shift+Alt+F1","In Dialogs and Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Terminal view commands","Terminal view insert","Alt+T","Terminal widget context"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Views","Show View (View: Javadoc)","Shift+Alt+Q J","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"File","Save All","Shift+Ctrl+S","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Help","Close User Assistance Tray","Ctrl+W","In Dialogs"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Navigate","Open External Javadoc","Shift+F2","In Windows"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Makefile Source","Uncomment","Ctrl+\","Makefile Editor"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Spy","Plug-in Spy","Shift+Alt+F2","In Dialogs and Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Views","Show View (View: Declaration)","Shift+Alt+Q D","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Navigate","Open Include Browser","Ctrl+Alt+I","C/C++ Editor"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"File","Close","Ctrl+W","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+H","Terminal widget context"
"Views","Show View (View: Problems)","Shift+Alt+Q X","In Windows"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Views","Show View (View: Search)","Shift+Alt+Q S","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Source","Indent Line","Ctrl+I","Editing Java Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Window","Activate Editor","F12","In Windows"
"C/C++ Source","Find Declaration","Ctrl+G","In C/C++ Views"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Go to Address...","Ctrl+G","In DSF Disassembly"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Views","Show View (View: Package Explorer)","Shift+Alt+Q P","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"C/C++ Source","Find Declaration","Ctrl+G","C/C++ Editor"
"Views","Show View (View: Variables)","Shift+Alt+Q V","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"C/C++ Source","Find References","Shift+Ctrl+G","C/C++ Editor"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"C/C++ Source","Explore Macro Expansion","Ctrl+=","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Run/Debug","Go to Symbol...","Shift+Ctrl+G","In DSF Disassembly"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"C/C++ Source","Explore Macro Expansion","Ctrl+#","C/C++ Editor"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Help","Close User Assistance Tray","Ctrl+F4","In Dialogs"
